immatriculation;numero_de_serie;marque;modele;date_debut;date_fin
S-RSQ-962;086912789057;SEGWAY-NINEBOT;Kickscooter F2 E - Step Adultes - Vitesse Maximale:25km - Autonomie:40km;2023-02-20;2024-10-12
S-FCE-229;015818092365;BOHLT;Pliable eKick TD9 - Noir;2024-08-21;2026-04-13
S-QOX-919;016549752966;JOYOR;Adulte Joyor Y10 Noir;2025-01-11;2026-09-03
S-HSH-964;029632524623;YEEP.ME;100C Signature- Autonomie 50km - avec clignotants;2023-11-26;2025-07-18
S-OAX-270;088963832681;JOYOR;Adulte Joyor Y10 Noir;2025-09-21;2027-05-14
S-BSG-540;080728271673;BOHLT;Pliable eKick TD9 - Noir;2024-04-03;2025-11-24
S-UYJ-361;076997907031;SUOTU;Suotu R1 PRO pour adultes;2024-07-13;2026-03-05
S-DCT-969;023620568006;WEELING;"S9 800W-48V-13Ah (624Wh) - roue 10""";2023-06-27;2025-02-16
S-RCD-493;051763819034;PRIXTON;Eco Tour PRIXTON|Vitesse 24 km/h|Angle d'ascension de 15º;2023-05-01;2024-12-21
S-CYI-624;084563950052;MOTUS;"Motus Scooty 8.5"", Puissance 350W, Batterie 7.8Ah";2024-03-18;2025-11-08
S-MAB-635;044071607156;SUOTU;Suotu rytigo 6;2023-02-10;2024-10-02
S-IIG-743;028606152380;YEEP.ME;YEEP.ME 100a start - 10'' 500W 30km - Garantie 5 ans;2022-11-18;2024-07-10
S-MVG-806;065880169143;SIVER;"Motus Siver City Red 250 W 20 km/h, 250 W, 8""";2023-04-12;2024-12-02
S-QJW-051;023628938131;SUOTU;Suotu rytigo 6;2025-09-08;2027-05-01
S-ARB-463;004809755456;SIVER;"Motus Siver City 20 km/h, 250 W, 8""";2023-09-10;2025-05-02
S-SFD-908;032828687532;JOYOR;Adulte Joyor GS5 Noir;2022-12-29;2024-08-20
S-QAT-602;039091142222;SUOTU;Suotu R1 pour adultes;2024-04-11;2025-12-02
S-BBX-337;091482001034;SEGWAY-NINEBOT;Ninebot F2 Pro E;2023-04-28;2024-12-18
S-TTU-628;011176879425;MOTUS;"Motus Scooty 8.5"", Puissance 350W, Batterie 7.8Ah";2024-12-09;2026-08-01
S-IPN-365;031642895133;NIU;Niu KQi2 Pro scooter électrique 365Wh 25 km blanc;2024-10-28;2026-06-20
S-LZU-079;077894979341;JOYOR;Joyor Y10 blanche;2024-10-04;2026-05-27
S-RTP-317;099438237737;TO.TEM;LYNX - 3 ROUES;2023-09-30;2025-05-22
S-JFH-062;077683591045;JOYOR;Adulte Joyor Y10 Noir;2024-06-18;2026-02-08
S-FXY-131;029247781933;SEGWAY-NINEBOT;Ninebot F2 Pro E;2025-08-20;2027-04-12
S-DLJ-961;079680137680;RAZOR;Power Core E100 -Enfant;2023-09-21;2025-05-13
S-GHB-999;028929657253;OKAI;Scooter électrique à pédale Okai ES20 Blanc;2024-04-27;2025-12-18
S-HCW-435;031203832932;RAZOR;Power Core E100 -Enfant;2025-04-18;2026-12-09
S-WQO-590;051345767734;NIU;Niu KQi3 Sport scooter électrique 365Wh 25 km blanc;2024-04-07;2025-11-28
S-IRJ-109;066038602273;RAZOR;Power Core E100 -Enfant;2023-02-07;2024-09-29
S-LKC-383;086754767731;NAVEE;Navee V40 Pro scooter électrique 280Wh 25 km guidon pliant noir;2025-10-16;2027-06-08
S-NZW-294;059924092559;KUGOO;Kugoo S1 pro pour enfants et adultes;2023-01-07;2024-08-29
S-CFQ-141;085958084391;OKAI;OKAI NEON LITE ES10 - BLACK;2025-04-23;2026-12-14
S-QPC-340;031761391499;WEELING;"S9 800W-48V-13Ah (624Wh) - roue 10""";2024-04-26;2025-12-17
S-IUQ-337;062688907017;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2024-05-05;2025-12-26
S-XMG-348;064730804479;VOLANS;adulte - e step;2023-01-22;2024-09-13
S-EBQ-785;019785603981;MOTUS;Motus Scooty 10 2023, 350 W, 20 km/h, clignotants;2023-06-19;2025-02-08
S-TKQ-449;035634825588;SIVER;"Motus Siver City Yellow 250 W 20 km/h, 250 W, 8""";2024-02-24;2025-10-16
S-DUS-633;066565079715;NIU;Niu KQi2 Pro scooter électrique 365Wh 25 km blanc;2022-10-01;2024-05-23
S-JHG-769;008505216195;SIVER;"Motus Siver City Red 250 W 20 km/h, 250 W, 8""";2025-05-30;2027-01-20
S-HPI-146;091426550827;SEGWAY-NINEBOT;SEGWAY Ninebot P65E;2024-04-13;2025-12-04
S-NVQ-516;076002963946;YEEP.ME;YEEP.ME 100a start - 10'' 500W 30km - Garantie 5 ans;2023-01-01;2024-08-23
S-BIP-309;010099362125;WINDGOO;Windgoo M20 pour enfants et adultes;2023-12-16;2025-08-07
S-FWX-973;081189478770;JOYOR;Adulte Joyor F5S+ Noir;2024-09-21;2026-05-14
S-VZP-889;022962045614;JOYOR;Adulte Joyor S5 Noir;2023-05-09;2024-12-29
S-SSJ-337;005137173414;TO.TEM;LYNX - 3 ROUES - CAMÉRA POSTERIEURE;2025-11-14;2027-07-07
S-TWS-761;056384555797;SIVER;"Motus Siver City 20 km/h, 250 W, 8""";2024-10-25;2026-06-17
S-DXT-582;061497404793;NIU;Niu KQi2 Pro scooter électrique 365Wh 25 km blanc;2025-11-01;2027-06-24
S-DJK-322;013941976889;SUOTU;Suotu M5 pour enfants et adultes;2023-06-20;2025-02-09
S-UXJ-260;014344560794;PRIXTON;Eco Tour PRIXTON|Vitesse 24 km/h|Angle d'ascension de 15º;2023-01-25;2024-09-16
S-DBO-023;066384375871;YEEP.ME;yeep.me 100s ROLAND GARROS - 60km - Édition limitée;2023-10-05;2025-05-27
S-VSI-788;095234913263;NAVEE;Navee V40 Pro scooter électrique 280Wh 25 km guidon pliant noir;2022-10-23;2024-06-14
S-DIB-135;009181140455;JOYOR; Adulte Joyor F1 Noir;2023-10-30;2025-06-21
S-PII-251;009559020122;SIVER;"Motus Siver City Red 250 W 20 km/h, 250 W, 8""";2025-06-25;2027-02-15
S-YCK-869;093522193369;PRIXTON;Eco Tour PRIXTON|Vitesse 24 km/h|Angle d'ascension de 15º;2024-03-29;2025-11-19
S-JCH-923;035238863843;SEGWAY-NINEBOT;KickScooter MAX G2 E- Pas Adultes - Vitesse maximale: 25km - Rayon: 70km;2023-05-19;2025-01-08
S-CLK-305;089382875128;SIVER;"Motus Siver City 20 km/h, 250 W, 8""";2024-03-15;2025-11-05
S-AST-596;076607133577;YEEP.ME;"100 La routière 10"" - Autonomie 50km - Ultra équipée";2023-08-10;2025-04-01
S-QHR-830;085706819095;XIAOMI;Xiaomi 4 Lite;2025-07-27;2027-03-19
S-BNZ-013;083311350042;OKAI;OKAI NEON LITE ES10 - BLACK;2025-10-05;2027-05-28
S-ISU-849;049484725258;JOYOR;Adulte Joyor F3;2022-09-13;2024-05-05
S-HUQ-861;004519534458;SUOTU;Suotu rytigo 6;2023-05-31;2025-01-20
S-EPW-285;081021063190;YEEP.ME;YEEP.ME 100a start - 10'' 500W 30km - Garantie 5 ans;2025-01-29;2026-09-21
S-VOE-510;051366582861;YEEP.ME;YEEP.ME 85a start - 8.5'' 350W 20km - Garantie 5 ans;2025-05-07;2026-12-28
S-QHS-286;055125892419;JOYOR;Adulte Joyor S10-S Noir;2022-12-22;2024-08-13
S-JER-535;055847297549;RAZOR;Power Core E100 -Enfant;2025-10-25;2027-06-17
S-PHU-588;046204065500;KUGOO;Kugoo S1 pro pour enfants et adultes;2024-09-10;2026-05-03
S-LZQ-652;022649175382;NAVEE;Scooter électrique Navee N65 Noir;2022-10-10;2024-06-01
S-CBX-685;043019678439;JOYOR;adulte Joyor Y5S blanche;2024-02-20;2025-10-12
S-HRK-887;025880696631;TO.TEM;LYNX - 3 ROUES;2025-04-04;2026-11-25
S-JUN-648;075760331197;MOTUS;Motus Scooty 10 2023, 350 W, 20 km/h, clignotants;2023-04-15;2024-12-05
S-VXJ-708;000136372235;SUOTU;Suotu R1 pour adultes;2023-03-08;2024-10-28
S-BPM-501;009273092768;JIVR;JIVR PLUS avec moteur 230W et triple système de freinage;2025-02-18;2026-10-11
S-GLB-519;064923151803;OKAI;Scooter électrique à pédale Okai ES20 Blanc;2025-02-16;2026-10-09
S-JYW-791;029286341128;TO.TEM;LYNX - 3 ROUES;2024-12-31;2026-08-23
S-WOW-988;002684405571;SEGWAY-NINEBOT;Ninebot F2 Plus;2024-02-26;2025-10-18
S-PNQ-913;001394724715;SEGWAY-NINEBOT;Kickscooter F2 E - Step Adultes - Vitesse Maximale:25km - Autonomie:40km;2023-08-26;2025-04-17
S-EJJ-235;013567374078;SHARP;Sharp KS1AEU-B Scooter électrique avec écran intégré et contrôle par application;2023-07-09;2025-02-28
S-YHD-077;037099810474;YEEP.ME;"100 La routière 10"" - Autonomie 50km - Ultra équipée";2025-07-03;2027-02-23
S-IOC-048;034196192345;SIVER;"Motus Siver City Red 250 W 20 km/h, 250 W, 8""";2025-03-13;2026-11-03
S-GQJ-067;054353181210;JOYOR;Adulte Joyor X5S Noir;2025-11-04;2027-06-27
S-ZLF-045;002253906810;JOYOR;Adulte Joyor S10-S Noir;2024-06-20;2026-02-10
S-PEA-496;015132329225;BOHLT;pliable - eKick 10 PRO - Noir;2025-01-25;2026-09-17
S-MSD-593;063100063219;JOYOR;Joyor Y10 blanche;2025-05-03;2026-12-24
S-VFN-388;019328574657;YEEP.ME;"yeep.me 80n - 13kg - 8"" 7,8Ah 30km";2024-04-24;2025-12-15
S-UMT-428;047150712863;XIAOMI;NOUVEAUTÉ Xiaomi Scooter 4 Ultra;2025-02-10;2026-10-03
S-VLQ-373;000866839889;OKAI;OKAI NEON LITE ES10 - BLACK;2025-11-15;2027-07-08
S-RPL-013;067493015310;PRIXTON;Eco Tour PRIXTON|Vitesse 24 km/h|Angle d'ascension de 15º;2024-09-02;2026-04-25
S-WDI-691;019332939601;XIAOMI;Xiaomi Mi 3;2023-01-18;2024-09-09
S-HQL-581;052822976307;ECO FLYING;"H100 350W-36V-10Ah (360Wh) - roue 20""";2023-01-14;2024-09-05
S-WIT-305;069552622839;SUOTU;Suotu rytigo 6;2024-05-22;2026-01-12
S-HZR-326;024412840490;WISPEED;WISPEED T850 V2;2023-04-11;2024-12-01
S-PNK-601;043008273580;SUOTU;Suotu M5 pour enfants et adultes;2024-08-18;2026-04-10
S-VVD-774;012993822737;SEGWAY-NINEBOT;Ninebot F2;2023-01-14;2024-09-05
S-QHO-651;077425101043;SHARP;Sharp KS2AEU-B e-Scooter avec écran intégré et double suspension arrière;2024-01-15;2025-09-06
S-LAU-470;053998002567;JOYOR;adulte Joyor Y5S blanche;2025-01-12;2026-09-04
S-RHT-591;089871739103;XIAOMI;Xiaomi Mi 3;2023-10-22;2025-06-13
S-MRM-422;041667881883;BOHLT;Pliable eKick TD9 - Noir;2025-01-22;2026-09-14
S-RHG-657;031206572595;SEGWAY-NINEBOT;SEGWAY Ninebot GT1E    2;2025-11-04;2027-06-27
S-OPK-796;026605113253;JOYOR;Adulte Joyor S5 Noir;2025-08-01;2027-03-24
S-TBH-924;049005841114;JOYOR;Joyor Y10 blanche;2024-01-04;2025-08-26
S-RMS-507;044701046515;NAVEE;Navee V40 Pro scooter électrique 280Wh 25 km guidon pliant noir;2025-05-10;2026-12-31
S-XUG-440;052239192246;RAZOR;Power Core E100 -Enfant;2023-08-10;2025-04-01
S-XUS-002;029746054942;RAZOR;Power Core E100 -Enfant;2023-05-03;2024-12-23
S-VND-034;069062362859;SEGWAY-NINEBOT;SEGWAY Ninebot P65E;2024-07-29;2026-03-21
S-JQN-487;009475232917;OKAI;OKAI NEON LITE ES10 - BLACK;2023-11-17;2025-07-09
S-HSN-422;070720106870;JIVR;JIVR PLUS avec moteur 230W et triple système de freinage;2023-03-18;2024-11-07
S-CWC-628;007267665235;SHARP;Sharp KS1AEU-B Scooter électrique avec écran intégré et contrôle par application;2022-10-07;2024-05-29
S-JUZ-220;045280155168;SEGWAY-NINEBOT;Ninebot F2;2022-09-12;2024-05-04
S-RSA-410;059071796154;JIVR;JIVR PLUS avec moteur 230W et triple système de freinage;2023-07-03;2025-02-22
S-LYD-590;073549623937;WEEBOT;Inoe Sweemie 2;2023-10-21;2025-06-12
S-WRT-386;001072938842;JOYOR;Adulte Joyor S5 Noir;2023-07-21;2025-03-12
S-VNU-790;072122871026;WEELING;"S9 800W-48V-13Ah (624Wh) - roue 10""";2022-08-12;2024-04-03
S-ZEJ-479;026856661037;YEEP.ME;yeep.me 100s ROLAND GARROS - 60km - Édition limitée;2023-08-22;2025-04-13
S-CYI-408;002262380767;SUOTU;Suotu M5 pour enfants et adultes;2024-10-10;2026-06-02
S-XXG-218;004437028496;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2024-02-27;2025-10-19
S-WRJ-154;040700769722;SUOTU;Suotu R1 PRO pour adultes;2024-09-26;2026-05-19
S-PZI-110;028990509524;JOYOR;Adulte Joyor X5S Noir;2025-06-12;2027-02-02
S-MWP-114;065906669493;SUOTU;Suotu R1 pour adultes;2022-08-07;2024-03-29
S-MPQ-702;075633679532;NAVEE;Navee V50 scooter électrique 374Wh 25 km guidon pliant noir;2022-12-19;2024-08-10
S-EMT-918;098668403012;JOYOR;Adulte Joyor G5 Noir;2025-03-18;2026-11-08
S-TYJ-163;084632196184;OXELO;Decathlon R900E;2024-07-09;2026-03-01
S-RUM-388;033733754398;YEEP.ME;"100 La routière 10"" - Autonomie 50km - Ultra équipée";2025-11-06;2027-06-29
S-OOC-537;091781514526;JOYOR;Adulte Joyor Y5S Noir;2023-04-09;2024-11-29
S-DWU-640;081727116656;OKAI;Scooter électrique Okai ES20 Noir;2025-01-03;2026-08-26
S-FDB-354;054019515620;SIVER;"Motus Siver City Yellow 250 W 20 km/h, 250 W, 8""";2024-08-25;2026-04-17
S-QHD-423;000243396744;NIU;Niu KQi2 Pro scooter électrique 365Wh 25 km blanc;2023-11-16;2025-07-08
S-LCK-506;053136310408;JOYOR;Adulte Joyor G5 Noir;2023-01-20;2024-09-11
S-GQQ-185;049079078483;XIAOMI;Xiaomi Scooter 4;2023-03-26;2024-11-15
S-NUF-096;055297704058;WEEBOT;Inoe Sweemie 2;2024-09-26;2026-05-19
S-TPU-971;092191422419;YEEP.ME;100C Signature- Autonomie 50km - avec clignotants;2024-09-04;2026-04-27
S-QKJ-468;013555197132;JOYOR; Adulte Joyor F1 Noir;2025-02-06;2026-09-29
S-QYB-039;035832877222;KUGOO;Kugoo S1 pro pour enfants et adultes;2025-07-19;2027-03-11
S-EAA-064;090350061533;SEGWAY-NINEBOT;SEGWAY Ninebot GT1E    2;2024-10-31;2026-06-23
S-NBE-040;080025598715;WISPEED;WISPEED T850 V2;2025-03-27;2026-11-17
S-MRS-232;027916602659;SUOTU;Suotu R1 PRO pour adultes;2025-08-12;2027-04-04
S-FVY-762;079360970261;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2024-08-13;2026-04-05
S-EVX-032;085537169182;JOYOR;Adulte Joyor G5 Noir;2022-12-04;2024-07-26
S-VDV-021;058105385223;PRIXTON;Eco Tour PRIXTON|Vitesse 24 km/h|Angle d'ascension de 15º;2022-08-10;2024-04-01
S-BMX-973;056320601698;JOYOR;Adulte Joyor X5S Noir;2022-12-27;2024-08-18
S-GUT-519;099389901538;KUGOO;Kugoo S1 pro pour enfants et adultes;2024-05-05;2025-12-26
S-YSW-111;077924197042;JOYOR;Adulte Joyor X5S Noir;2022-10-27;2024-06-18
S-PAQ-344;084080324704;SUOTU;Suotu R1 pour adultes;2023-09-29;2025-05-21
S-NPX-939;060558131297;VOLANS;adulte - e step;2025-05-27;2027-01-17
S-HOA-231;017304845229;SEGWAY-NINEBOT;KickScooter MAX G2 E- Pas Adultes - Vitesse maximale: 25km - Rayon: 70km;2022-10-26;2024-06-17
S-NUY-194;037289643944;SHARP;Sharp KS1AEU-B Scooter électrique avec écran intégré et contrôle par application;2024-12-09;2026-08-01
S-ELO-533;007874933647;NAVEE;Navee V40 scooter électrique 280Wh 25 km noir;2023-12-31;2025-08-22
S-NZR-750;044874039809;YEEP.ME;yeep.me 100s ROLAND GARROS - 60km - Édition limitée;2024-04-13;2025-12-04
S-CNY-162;099988514435;OXELO;Decathlon R920E;2025-03-12;2026-11-02
S-LHV-739;024932464800;OKAI;Scooter électrique Okai ES20 Noir;2024-11-14;2026-07-07
S-SEG-648;055891900019;BOHLT;pliable - eKick 10 PRO - Noir;2024-11-25;2026-07-18
S-DBO-789;019974582482;WISPEED;Wispeed T865;2023-10-12;2025-06-03
S-REA-108;064658557114;SIVER;"Motus Siver City 20 km/h, 250 W, 8""";2022-08-25;2024-04-16
S-ALK-263;088205685085;OXELO;Decathlon R900E;2023-06-20;2025-02-09
S-KME-954;077965623234;BOHLT;Pliable eKick TD9 - Noir;2023-08-14;2025-04-05
S-XXW-085;040359141471;YEEP.ME;85 Signature - Autonomie 35km - AVEC CLIGNOTANTS;2024-04-19;2025-12-10
S-ZVI-606;051964763649;NAVEE;Navee V40 scooter électrique 280Wh 25 km noir;2022-12-15;2024-08-06
S-BBC-340;075545577692;SUOTU;Suotu rytigo 6;2025-07-02;2027-02-22
S-WJN-158;033375100990;RED6;pliable - RED6 85 SPARROW - Vitesse Max 25 Km - Batterie;2025-05-03;2026-12-24
S-XML-677;097812825184;BOHLT;pliable - eKick 10 PRO - Noir;2023-12-13;2025-08-04
S-ENI-631;011466594425;YEEP.ME;YEEP.ME 85a start - 8.5'' 350W 20km - Garantie 5 ans;2023-08-05;2025-03-27
S-HCW-183;084998234621;YEEP.ME;"yeep.me 80n - 13kg - 8"" 7,8Ah 30km";2024-03-21;2025-11-11
S-VAT-890;046367351920;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2024-08-14;2026-04-06
S-UCC-468;054098112859;JOYOR;Joyor Y10 blanche;2024-08-21;2026-04-13
S-IMA-950;094785476039;SUOTU;Suotu rytigo 6;2022-11-28;2024-07-20
S-ECB-631;012587328606;WISPEED;WISPEED T850 V2;2022-12-22;2024-08-13
S-CYD-823;045277218822;NIU;Niu KQi3 Sport scooter électrique 365Wh noir;2023-10-03;2025-05-25
S-VRG-781;050182208514;SEGWAY-NINEBOT;Kickscooter F2 E - Step Adultes - Vitesse Maximale:25km - Autonomie:40km;2025-08-06;2027-03-29
S-MHP-154;054518898271;BOHLT;pliable - eKick 10 PRO - Noir;2024-11-22;2026-07-15
S-RIE-425;005227107457;YEEP.ME;"100 La routière 10"" - Autonomie 50km - Ultra équipée";2024-12-23;2026-08-15
S-OWM-478;037748998861;XIAOMI;NOUVEAUTÉ Xiaomi Scooter 4 Ultra;2023-10-13;2025-06-04
S-YYP-086;088524339555;JOYOR;Adulte Joyor S5 Noir;2025-01-07;2026-08-30
S-HHN-471;044489898327;PRIXTON;Eco Tour PRIXTON|Vitesse 24 km/h|Angle d'ascension de 15º;2023-01-23;2024-09-14
S-FZJ-688;062495925718;OXELO;Decathlon R900E;2023-01-06;2024-08-28
S-XQN-040;014304687252;WEEBOT;Inoe Sweemie 2;2024-03-22;2025-11-12
S-HCL-464;065431075851;OXELO;Decathlon R920E;2022-09-13;2024-05-05
S-JBH-773;063968992478;JOYOR;Adulte Joyor G5 Noir;2023-02-28;2024-10-20
S-MRE-324;047156572687;NAVEE;Navee V40 scooter électrique 280Wh 25 km noir;2025-02-03;2026-09-26
S-VNG-638;068393522938;OXELO;Decathlon R900E;2023-07-25;2025-03-16
S-TYY-500;085921724341;WISPEED;Wispeed T865;2025-07-21;2027-03-13
S-AAU-792;031030919785;JOYOR;adulte Joyor Y5S blanche;2025-01-21;2026-09-13
S-DTA-693;053861506829;PRIXTON;Eco Tour PRIXTON|Vitesse 24 km/h|Angle d'ascension de 15º;2022-09-29;2024-05-21
S-PHS-912;076594785934;NAVEE;Navee V50 scooter électrique 374Wh 25 km guidon pliant noir;2025-02-15;2026-10-08
S-HOM-586;078665307592;OKAI;Scooter électrique Okai ES20 Noir;2023-10-04;2025-05-26
S-ITK-792;027772555923;JOYOR;Adulte Joyor F5S+ Noir;2023-08-09;2025-03-31
S-JDL-687;020144075391;JOYOR;Adulte Joyor Y5S Noir;2024-04-15;2025-12-06
S-VPT-773;069217156716;SEGWAY-NINEBOT;KickScooter MAX G2 E- Pas Adultes - Vitesse maximale: 25km - Rayon: 70km;2024-06-01;2026-01-22
S-ULY-306;042500977085;WISPEED;Wispeed T865;2025-02-13;2026-10-06
S-DZI-120;095593379571;SEGWAY-NINEBOT;Kickscooter F2 E - Step Adultes - Vitesse Maximale:25km - Autonomie:40km;2022-10-17;2024-06-08
S-AVT-219;053697412619;UNAGI;Unagi Dual Motor;2025-01-25;2026-09-17
S-QBD-381;097630250245;SIVER;"Motus Siver City Yellow 250 W 20 km/h, 250 W, 8""";2022-12-08;2024-07-30
S-WAK-492;073039250879;PRIXTON;Eco Tour PRIXTON|Vitesse 24 km/h|Angle d'ascension de 15º;2023-11-16;2025-07-08
S-OQD-725;052869704038;YEEP.ME;yeep.me 100s ROLAND GARROS - 60km - Édition limitée;2022-09-29;2024-05-21
S-PUL-668;048278038238;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2025-03-11;2026-11-01
S-EKW-573;041627691468;SEGWAY-NINEBOT;Ninebot F2 Pro E;2023-07-11;2025-03-02
S-HHJ-022;042725017060;YEEP.ME;"100 La routière 10"" - Autonomie 50km - Ultra équipée";2024-11-24;2026-07-17
S-QFR-285;013776872336;JOYOR;Adulte Joyor GS5 Noir;2022-08-13;2024-04-04
S-JCI-878;041625624147;SHARP;Sharp KS1AEU-B Scooter électrique avec écran intégré et contrôle par application;2025-09-22;2027-05-15
S-PNU-584;078994818335;NAVEE;Scooter électrique Navee N65 Noir;2025-06-27;2027-02-17
S-DIN-965;010248991107;JOYOR;adulte Joyor Y5S blanche;2023-05-06;2024-12-26
S-WEW-648;088078779117;NIU;Niu KQi3 Sport scooter électrique 365Wh noir;2023-02-07;2024-09-29
S-PMQ-786;003822677114;KUGOO;Kugoo S1 pro pour enfants et adultes;2022-09-11;2024-05-03
S-VWF-339;057770686948;SHARP;Sharp KS2AEU-B e-Scooter avec écran intégré et double suspension arrière;2025-02-15;2026-10-08
S-GJA-393;005217517185;OKAI;OKAI NEON LITE ES10 - BLACK;2023-08-26;2025-04-17
S-URR-848;087062908630;XIAOMI;Xiaomi 4 GO;2024-12-04;2026-07-27
S-RCV-678;077307891814;BOHLT;Bohlt EKICK 10 Air Scooter électrique;2025-06-11;2027-02-01
S-FES-324;046768725126;WINDGOO;Windgoo M20 pour enfants et adultes;2023-09-02;2025-04-24
S-EXW-581;000085354998;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2024-02-24;2025-10-16
S-DNW-741;043313454249;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2024-10-10;2026-06-02
S-LVJ-599;036654673005;SIVER;"Motus Siver City 20 km/h, 250 W, 8""";2022-09-05;2024-04-27
S-CSI-837;070605562781;XIAOMI;Xiaomi Scooter 4;2024-09-06;2026-04-29
S-ZMT-217;060724563885;JOYOR;Adulte Joyor S5 Noir;2024-07-26;2026-03-18
S-PCF-677;059273726266;NIU;Niu KQi3 Sport scooter électrique 365Wh 25 km rouge;2024-04-23;2025-12-14
S-LNF-258;068705255792;OXELO;Decathlon R900E;2024-02-08;2025-09-30
S-JYI-859;082639443272;KUGOO;Kugoo S1 pro pour enfants et adultes;2024-11-04;2026-06-27
S-IEP-536;072797501257;XIAOMI;Xiaomi 4 Lite;2024-06-24;2026-02-14
S-KPD-428;044173676582;KUGOO;Kugoo S1 pro pour enfants et adultes;2025-01-14;2026-09-06
S-LKM-724;006831010031;OXELO;Decathlon R900E;2024-09-18;2026-05-11
S-BXF-707;021239856343;YEEP.ME;YEEP.ME 85a start - 8.5'' 350W 20km - Garantie 5 ans;2024-04-04;2025-11-25
S-NMG-323;030736813689;NAVEE;Scooter électrique Navee N65 Noir;2025-07-08;2027-02-28
S-OIR-489;040027855615;YEEP.ME;"100 La routière 10"" - Autonomie 50km - Ultra équipée";2023-12-20;2025-08-11
S-IEU-168;026854743770;SIVER;"Motus Siver City Red 250 W 20 km/h, 250 W, 8""";2023-08-28;2025-04-19
S-UXA-065;082620626964;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2025-09-26;2027-05-19
S-PYZ-468;067081254715;SEGWAY-NINEBOT;Ninebot F2 Pro E;2024-08-19;2026-04-11
S-KDB-797;049836251270;RAZOR;Power Core E100 -Enfant;2024-08-31;2026-04-23
S-IAV-683;070209547763;JOYOR;Adulte Joyor S10-S Noir;2023-10-10;2025-06-01
S-KAX-869;070062012705;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2023-01-03;2024-08-25
S-HAC-967;003140049207;KUGOO;Kugoo S1 pro pour enfants et adultes;2022-08-05;2024-03-27
S-MRM-837;006543165413;JOYOR;Adulte Joyor X5S Noir;2023-06-14;2025-02-03
S-MYY-211;007877787407;OKAI;Scooter électrique à pédale Okai ES20 Blanc;2024-12-23;2026-08-15
S-JLY-899;023058675443;RED6;pliable - RED6 85 SPARROW - Vitesse Max 25 Km - Batterie;2025-08-13;2027-04-05
S-WJK-080;095563297219;XIAOMI;Xiaomi Scooter 4;2023-04-06;2024-11-26
S-HFW-853;035086163709;ECO FLYING;"H100 350W-36V-10Ah (360Wh) - roue 20""";2023-01-23;2024-09-14
S-AIZ-248;043539112747;SUOTU;Suotu rytigo 6;2024-03-17;2025-11-07
S-VXC-457;090858648675;SUOTU;Suotu R1 pour adultes;2024-07-01;2026-02-21
S-FYB-249;041419770215;XIAOMI;Xiaomi Scooter 4;2025-08-19;2027-04-11
S-ICY-130;045058368032;WISPEED;Wispeed T865;2024-12-22;2026-08-14
S-AHP-179;040976741503;JOYOR;Adulte Joyor X5S Noir;2023-09-29;2025-05-21
S-HSR-372;066098383599;JOYOR; Adulte Joyor F1 Noir;2023-10-30;2025-06-21
S-FGX-056;086217815559;WEEBOT;Inoe Sweemie 2;2025-09-29;2027-05-22
S-PKU-722;051407121477;RAZOR;Power Core E100 -Enfant;2024-12-03;2026-07-26
S-PCQ-594;094913486813;NAVEE;Navee V50 scooter électrique 374Wh 25 km guidon pliant noir;2022-10-27;2024-06-18
S-SXU-541;054409594599;UNAGI;Unagi Dual Motor;2025-03-09;2026-10-30
S-BAQ-802;028413447638;WINDGOO;Windgoo M20 pour enfants et adultes;2024-01-31;2025-09-22
S-ZTX-528;082907037157;OKAI;Scooter électrique Okai ES20 Noir;2025-05-12;2027-01-02
S-KUB-801;059514646772;WEELING;"S9 Plus 800W-48V-15Ah (720Wh) - roue 10""";2023-11-21;2025-07-13
S-YHI-831;079689397190;NAVEE;Navee V40 scooter électrique 280Wh 25 km noir;2022-11-02;2024-06-24
S-JKL-014;065634654909;RAZOR;Power Core E100 -Enfant;2025-10-23;2027-06-15
S-DDL-408;056685872757;NIU;Niu KQi3 Sport scooter électrique 365Wh noir;2024-07-02;2026-02-22
S-SXD-913;055969897232;SHARP;Sharp KS2AEU-B e-Scooter avec écran intégré et double suspension arrière;2022-11-06;2024-06-28
S-VZI-638;053788790981;YEEP.ME;yeep.me 100s ROLAND GARROS - 60km - Édition limitée;2024-12-01;2026-07-24
S-YLA-977;051739261873;SHARP;Sharp KS1AEU-B Scooter électrique avec écran intégré et contrôle par application;2023-07-28;2025-03-19
S-FYG-473;010904554643;NAVEE;Scooter électrique Navee N65 Noir;2024-10-17;2026-06-09
S-UNS-341;056841231808;NIU;Niu KQi3 Sport scooter électrique 365Wh 25 km rouge;2023-07-29;2025-03-20
